Timestamp,Are you voting on Sri Lanka Presidential Election 2019?,What is the province that your polling station is located?,"According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Rohan Pallewatta]","According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Anura Kumara Dissanayaka]","According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Gotabaya Rajapakasa]","According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Sajith Premadasa]","According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Gotabaya Rajapaksa]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Mahesh Senanayaka]",Please mention your age range.,Please mention your gender,What is your highest educational qualification?,What is your monthly income?,Your Ethnicity / Race,For whom will you vote?,Who will win the Presidential Election 2019?,Comments
01/11/2019 08:00:11,Yes,North Western,Fair,Satisfactory,Poor,Excellent,Fair,Satisfactory,Fair,Excellent,Fair,Fair,Satisfactory,Excellent,Fair,Satisfactory,Poor,Fair,Very good,Fair,Satisfactory,Satisfactory,Fair,Satisfactory,Fair,Excellent,Fair,Poor,Fair,Poor,Excellent,Poor,Fair,Satisfactory,Poor,Excellent,Fair,30-35,Male,A/L,10000 - 40000,Muslim,Sajith Premadasa,Sajith Premadasa,
01/11/2019 08:10:32,Yes,Western,Very good,Fair,Excellent,Poor,Poor,Fair,Excellent,Poor,Excellent,Poor,Satisfactory,Poor,Excellent,Poor,Satisfactory,Fair,Poor,Very good,Very good,Very good,Fair,Satisfactory,Satisfactory,Satisfactory,Fair,Very good,Poor,Very good,Poor,Fair,Fair,Very good,Very good,Satisfactory,Fair,30-35,Male,Masters Degree,120000 - 160000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 08:46:51,Yes,Western,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,30-35,Male,Bachelors Degree,320000 - above,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 09:31:35,Yes,Uva,Poor,Excellent,Very good,Poor,Very good,Satisfactory,Fair,Poor,Very good,Satisfactory,Very good,Satisfactory,Excellent,Very good,Poor,Satisfactory,Poor,Very good,Very good,Poor,Poor,Very good,Very good,Fair,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Excellent,Very good,Fair,Satisfactory,23-29,Male,Bachelors Degree,10000 - 40000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 10:21:45,Yes,Central,Fair,Satisfactory,Very good,Poor,Fair,Satisfactory,Satisfactory,Poor,Very good,Fair,Poor,Poor,Excellent,Poor,Poor,Satisfactory,Poor,Excellent,Satisfactory,Satisfactory,Fair,Satisfactory,Very good,Poor,Fair,Very good,Fair,Very good,Poor,Fair,Poor,Fair,Satisfactory,Poor,Poor,30-35,Male,Postgraduate Diploma,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 11:14:02,Yes,Western,Satisfactory,Fair,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Fair,Fair,Fair,Poor,Fair,Satisfactory,Fair,Fair,Satisfactory,Satisfactory,Poor,Satisfactory,Fair,Fair,Fair,Poor,Fair,Fair,Satisfactory,Fair,Fair,Fair,23-29,Male,Bachelors Degree,"No income, dependent",Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 11:30:44,Yes,Western,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Very good,Fair,Very good,Excellent,Excellent,Satisfactory,Very good,Satisfactory,Very good,Excellent,Fair,Excellent,Very good,Very good,Excellent,Fair,Excellent,Very good,Excellent,Satisfactory,Poor,Excellent,Satisfactory,Excellent,Excellent,Poor,Excellent,Excellent,30-35,Male,Bachelors Degree,320000 - above,Muslim,Sajith Premadasa,Sajith Premadasa,
01/11/2019 12:33:32,Yes,Western,Satisfactory,Fair,Very good,Poor,Poor,Fair,Satisfactory,Poor,Very good,Poor,Fair,Poor,Very good,Poor,Poor,Poor,Poor,Very good,Fair,Fair,Satisfactory,Fair,Very good,Poor,Poor,Satisfactory,Fair,Very good,Fair,Poor,Fair,Fair,Satisfactory,Poor,Poor,30-35,Male,Bachelors Degree,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 14:10:00,Yes,Central,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,54-59,Male,O/L,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,Gotabaya is the hero 
01/11/2019 14:17:55,Yes,Western,Fair,Fair,Satisfactory,Poor,Fair,Fair,Fair,Poor,Satisfactory,Fair,Poor,Poor,Satisfactory,Poor,Poor,Fair,Poor,Satisfactory,Fair,Fair,Fair,Fair,Satisfactory,Poor,Fair,Fair,Fair,Satisfactory,Poor,Fair,Poor,Poor,Satisfactory,Poor,Poor,23-29,Male,Bachelors Degree,"No income, dependent",Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 14:25:13,Yes,Western,Satisfactory,Very good,Excellent,Poor,Fair,Satisfactory,Very good,Poor,Excellent,Fair,Fair,Poor,Excellent,Very good,Satisfactory,Very good,Poor,Excellent,Satisfactory,Fair,Satisfactory,Very good,Excellent,Poor,Fair,Fair,Very good,Excellent,Satisfactory,Poor,Fair,Satisfactory,Excellent,Poor,Very good,18-23,Male,A/L,"No income, dependent",Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 15:46:11,Yes,Western,Poor,Poor,Fair,Very good,Fair,Poor,Poor,Very good,Satisfactory,Poor,Fair,Satisfactory,Satisfactory,Poor,Poor,Poor,Very good,Satisfactory,Poor,Poor,Poor,Poor,Fair,Excellent,Poor,Poor,Poor,Poor,Very good,Fair,Poor,Poor,Fair,Very good,Fair,54-59,Female,A/L,"No income, dependent",Sinhala,Sajith Premadasa,Sajith Premadasa,
01/11/2019 17:04:51,Yes,Western,Satisfactory,Satisfactory,Very good,Poor,Poor,Satisfactory,Satisfactory,Poor,Satisfactory,Poor,Fair,Poor,Very good,Poor,Poor,Very good,Poor,Very good,Very good,Very good,Satisfactory,Satisfactory,Excellent,Poor,Poor,Satisfactory,Satisfactory,Very good,Satisfactory,Poor,Poor,Poor,Satisfactory,Poor,Poor,23-29,Male,Bachelors Degree,10000 - 40000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 19:32:16,Yes,South,Very good,Very good,Very good,Very good,Very good,Very good,Satisfactory,Very good,Satisfactory,Satisfactory,Excellent,Excellent,Very good,Very good,Very good,Satisfactory,Very good,Very good,Very good,Satisfactory,Satisfactory,Very good,Satisfactory,Excellent,Very good,Satisfactory,Very good,Satisfactory,Very good,Satisfactory,Satisfactory,Satisfactory,Very good,Very good,Satisfactory,23-29,Male,Bachelors Degree,40000 - 80000,Sinhala,Sajith Premadasa,Sajith Premadasa,
01/11/2019 19:42:33,Yes,North Central,Fair,Satisfactory,Excellent,Poor,Fair,Satisfactory,Satisfactory,Fair,Excellent,Poor,Satisfactory,Poor,Excellent,Fair,Poor,Fair,Fair,Excellent,Satisfactory,Fair,Fair,Satisfactory,Excellent,Fair,Fair,Satisfactory,Fair,Excellent,Fair,Fair,Fair,Satisfactory,Very good,Satisfactory,Fair,23-29,Male,Bachelors Degree,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 20:00:22,Yes,North,Fair,Fair,Very good,Fair,Fair,Fair,Fair,Excellent,Fair,Fair,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Excellent,Satisfactory,Very good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Poor,Excellent,Satisfactory,23-29,Male,Bachelors Degree,10000 - 40000,Tamil,Sajith Premadasa,Sajith Premadasa,
01/11/2019 20:07:51,Yes,Central,Very good,Very good,Excellent,Very good,Very good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,30-35,Male,Bachelors Degree,120000 - 160000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 20:39:10,Yes,North Western,Satisfactory,Fair,Very good,Poor,Satisfactory,Poor,Fair,Poor,Satisfactory,Fair,Satisfactory,Poor,Very good,Poor,Fair,Satisfactory,Poor,Very good,Fair,Satisfactory,Satisfactory,Fair,Very good,Fair,Satisfactory,Satisfactory,Fair,Very good,Fair,Satisfactory,Fair,Fair,Satisfactory,Poor,Fair,23-29,Male,Bachelors Degree,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 20:53:13,Yes,Western,Poor,Very good,Poor,Very good,Satisfactory,Satisfactory,Fair,Very good,Fair,Fair,Satisfactory,Very good,Satisfactory,Satisfactory,Fair,Fair,Very good,Fair,Satisfactory,Fair,Fair,Satisfactory,Fair,Very good,Satisfactory,Satisfactory,Satisfactory,Fair,Very good,Satisfactory,Poor,Satisfactory,Poor,Very good,Very good,30-35,Male,Masters Degree,200000 - 240000,Sinhala,Sajith Premadasa,Sajith Premadasa,
01/11/2019 20:58:15,Yes,Western,Fair,Excellent,Fair,Very good,Satisfactory,Excellent,Very good,Excellent,Satisfactory,Very good,Excellent,Excellent,Satisfactory,Excellent,Very good,Very good,Excellent,Satisfactory,Very good,Very good,Very good,Satisfactory,Satisfactory,Very good,Very good,Very good,Very good,Satisfactory,Excellent,Excellent,Very good,Satisfactory,Poor,Satisfactory,Excellent,36-41,Male,Bachelors Degree,10000 - 40000,Muslim,Anura Kumara Dissanayaka,Sajith Premadasa,
01/11/2019 21:06:26,Yes,Sabaragamuwa,Poor,Poor,Poor,Very good,Poor,Poor,Poor,Very good,Poor,Poor,Poor,Very good,Poor,Poor,Poor,Poor,Very good,Poor,Poor,Poor,Poor,Poor,Poor,Very good,Poor,Poor,Poor,Poor,Very good,Poor,Poor,Poor,Poor,Very good,Poor,30-35,Male,A/L,10000 - 40000,Muslim,Sajith Premadasa,Sajith Premadasa,
01/11/2019 21:28:09,Yes,Western,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,23-29,Male,Bachelors Degree,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 21:34:34,Yes,Western,Poor,Poor,Satisfactory,Satisfactory,Poor,Fair,Poor,Poor,Satisfactory,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Fair,Fair,Poor,Poor,Satisfactory,Poor,Poor,Fair,Poor,Satisfactory,Poor,Poor,Poor,Fair,Satisfactory,Poor,Poor,30-35,Male,Bachelors Degree,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 22:01:54,Yes,Western,Satisfactory,Fair,Satisfactory,Fair,Fair,Fair,Satisfactory,Fair,Satisfactory,Fair,Fair,Poor,Satisfactory,Poor,Poor,Poor,Fair,Satisfactory,Fair,Satisfactory,Fair,Satisfactory,Fair,Fair,Poor,Satisfactory,Fair,Satisfactory,Poor,Poor,Fair,Fair,Fair,Poor,Poor,23-29,Male,Masters Degree,200000 - 240000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 22:26:04,Yes,Western,Fair,Fair,Satisfactory,Poor,Poor,Poor,Fair,Poor,Fair,Poor,Satisfactory,Fair,Satisfactory,Poor,Poor,Fair,Fair,Satisfactory,Fair,Fair,Fair,Fair,Satisfactory,Poor,Poor,Fair,Poor,Fair,Satisfactory,Fair,Poor,Fair,Poor,Fair,Fair,23-29,Male,Masters Degree,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 22:41:38,Yes,Western,Fair,Fair,Satisfactory,Poor,Poor,Fair,Fair,Poor,Satisfactory,Poor,Fair,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Fair,Satisfactory,Poor,Poor,Fair,Fair,Satisfactory,Poor,Poor,Poor,Fair,Satisfactory,Fair,Fair,30-35,Male,Bachelors Degree,120000 - 160000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
01/11/2019 23:22:37,Yes,North,Poor,Fair,Poor,Fair,Poor,Satisfactory,Fair,Satisfactory,Poor,Fair,Fair,Satisfactory,Fair,Fair,Poor,Fair,Fair,Fair,Satisfactory,Fair,Fair,Satisfactory,Fair,Satisfactory,Fair,Poor,Fair,Fair,Fair,Poor,Fair,Satisfactory,Poor,Satisfactory,Fair,36-41,Male,Masters Degree,40000 - 80000,Tamil,Anura Kumara Dissanayaka,Sajith Premadasa,
02/11/2019 00:37:48,Yes,Western,Satisfactory,Fair,Satisfactory,Satisfactory,Fair,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Very good,Very good,Satisfactory,Poor,Poor,Poor,Very good,Satisfactory,Satisfactory,Fair,Satisfactory,Satisfactory,Satisfactory,Very good,Satisfactory,Poor,Poor,Fair,Fair,Poor,Fair,Satisfactory,Fair,Satisfactory,Fair,30-35,Male,Higher Diploma,40000 - 80000,Sinhala,Sajith Premadasa,Sajith Premadasa,
02/11/2019 07:16:41,Yes,Western,Fair,Fair,Very good,Satisfactory,Fair,Fair,Fair,Satisfactory,Fair,Fair,Satisfactory,Satisfactory,Fair,Poor,Poor,Poor,Satisfactory,Fair,Satisfactory,Poor,Poor,Satisfactory,Fair,Satisfactory,Satisfactory,Fair,Poor,Fair,Satisfactory,Fair,Fair,Satisfactory,Poor,Satisfactory,Satisfactory,30-35,Male,A/L,40000 - 80000,Malay,Sajith Premadasa,Sajith Premadasa,
02/11/2019 07:23:26,Yes,Western,Fair,Fair,Very good,Fair,Fair,Fair,Fair,Fair,Very good,Fair,Poor,Poor,Very good,Poor,Poor,Fair,Satisfactory,Very good,Fair,Fair,Fair,Fair,Satisfactory,Satisfactory,Fair,Fair,Fair,Satisfactory,Satisfactory,Fair,Satisfactory,Satisfactory,Very good,Very good,Satisfactory,36-41,Male,Masters Degree,120000 - 160000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
02/11/2019 07:31:04,Yes,Western,Satisfactory,Satisfactory,Poor,Fair,Satisfactory,Satisfactory,Satisfactory,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Poor,Satisfactory,Satisfactory,Fair,Satisfactory,Poor,Fair,Satisfactory,Satisfactory,Fair,Poor,Fair,Fair,Fair,Satisfactory,Poor,Fair,Fair,48-53,Male,Bachelors Degree,240000 - 280000,Sinhala,Anura Kumara Dissanayaka,Sajith Premadasa,
02/11/2019 08:27:18,Yes,Central,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Fair,Poor,Satisfactory,Poor,Poor,Fair,Poor,Satisfactory,Poor,Poor,66-71,Male,Diploma,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
02/11/2019 08:39:18,Yes,Eastern,Satisfactory,Very good,Excellent,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Excellent,Satisfactory,Excellent,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Excellent,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Excellent,Satisfactory,Satisfactory,Excellent,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Excellent,Satisfactory,Satisfactory,Satisfactory,Satisfactory,30-35,Male,Bachelors Degree,80000 - 120000,Tamil,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
02/11/2019 09:04:27,Yes,Western,Fair,Very good,Poor,Excellent,Satisfactory,Satisfactory,Satisfactory,Excellent,Poor,Fair,Very good,Excellent,Poor,Fair,Fair,Fair,Excellent,Poor,Satisfactory,Fair,Fair,Satisfactory,Poor,Excellent,Fair,Satisfactory,Satisfactory,Poor,Excellent,Satisfactory,Fair,Fair,Poor,Excellent,Very good,18-23,Male,A/L,"No income, dependent",Sinhala,Sajith Premadasa,Sajith Premadasa,
02/11/2019 09:12:38,Yes,Western,Fair,Fair,Fair,Fair,Fair,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,54-59,Male,Postgraduate Diploma,80000 - 120000,Tamil,Sajith Premadasa,Sajith Premadasa,
02/11/2019 09:58:50,Yes,North Western,Poor,Fair,Excellent,Poor,Poor,Satisfactory,Fair,Poor,Excellent,Poor,Fair,Poor,Excellent,Poor,Poor,Poor,Fair,Excellent,Satisfactory,Satisfactory,Fair,Fair,Excellent,Fair,Poor,Satisfactory,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,30-35,Male,Diploma,10000 - 40000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
02/11/2019 10:01:45,Yes,Central,Satisfactory,Fair,Excellent,Fair,Poor,Fair,Satisfactory,Poor,Excellent,Poor,Fair,Satisfactory,Excellent,Poor,Poor,Poor,Poor,Excellent,Fair,Poor,Poor,Fair,Excellent,Fair,Poor,Fair,Poor,Excellent,Fair,Poor,Poor,Satisfactory,Excellent,Fair,Poor,30-35,Male,Masters Degree,160000 - 200000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
02/11/2019 10:07:02,Yes,Western,Very good,Excellent,Very good,Excellent,Very good,Excellent,Excellent,Excellent,Satisfactory,Fair,Excellent,Excellent,Excellent,Excellent,Very good,Excellent,Excellent,Excellent,Excellent,Excellent,Satisfactory,Excellent,Very good,Excellent,Satisfactory,Excellent,Very good,Fair,Excellent,Very good,Fair,Excellent,Poor,Excellent,Excellent,23-29,Male,Bachelors Degree,40000 - 80000,Sinhala,Sajith Premadasa,Sajith Premadasa,
02/11/2019 10:18:09,Yes,Central,Fair,Very good,Satisfactory,Excellent,Fair,Very good,Satisfactory,Excellent,Satisfactory,Satisfactory,Satisfactory,Excellent,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Very good,Satisfactory,Very good,Very good,Satisfactory,Very good,Satisfactory,Excellent,Satisfactory,Fair,Very good,Satisfactory,Satisfactory,Fair,Satisfactory,Very good,Fair,Excellent,Very good,23-29,Male,Bachelors Degree,10000 - 40000,Muslim,Sajith Premadasa,Sajith Premadasa,No need  Ethnicity here
02/11/2019 10:48:39,Yes,Eastern,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,30-35,Male,Higher Diploma,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
02/11/2019 11:18:57,Yes,North,Poor,Fair,Poor,Satisfactory,Fair,Fair,Poor,Satisfactory,Poor,Fair,Fair,Satisfactory,Fair,Fair,Poor,Fair,Satisfactory,Poor,Fair,Poor,Poor,Fair,Poor,Satisfactory,Fair,Poor,Fair,Poor,Satisfactory,Fair,Poor,Fair,Poor,Satisfactory,Fair,66-71,Male,A/L,10000 - 40000,Tamil,Sajith Premadasa,Sajith Premadasa,Sagith premadasa's victory. Will help to maintain law&order & comunal harmany in this country
02/11/2019 11:54:01,Yes,Western,Fair,Satisfactory,Satisfactory,Poor,Poor,Fair,Fair,Poor,Satisfactory,Poor,Fair,Poor,Satisfactory,Fair,Poor,Fair,Poor,Satisfactory,Satisfactory,Fair,Fair,Fair,Satisfactory,Fair,Fair,Poor,Poor,Satisfactory,Fair,Poor,Poor,Fair,Satisfactory,Poor,Poor,18-23,Male,A/L,"No income, dependent",Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
02/11/2019 12:20:39,Yes,Western,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,23-29,Male,Bachelors Degree,10000 - 40000,Sinhala,Mahesh Senanayaka,Gotabaya Rajapakasa,
02/11/2019 13:07:22,Yes,Eastern,Fair,Very good,Fair,Excellent,Fair,Very good,Fair,Excellent,Fair,Fair,Very good,Excellent,Satisfactory,Very good,Satisfactory,Satisfactory,Excellent,Fair,Very good,Fair,Satisfactory,Very good,Poor,Excellent,Satisfactory,Satisfactory,Very good,Fair,Excellent,Satisfactory,Satisfactory,Very good,Poor,Excellent,Excellent,23-29,Male,Bachelors Degree,160000 - 200000,Muslim,Sajith Premadasa,Sajith Premadasa,
02/11/2019 13:43:40,Yes,Western,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,18-23,Male,A/L,40000 - 80000,Malay,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
02/11/2019 14:17:27,Yes,Central,Poor,Fair,Very good,Fair,Poor,Satisfactory,Fair,Poor,Excellent,Fair,Satisfactory,Fair,Excellent,Poor,Poor,Fair,Fair,Excellent,Satisfactory,Fair,Satisfactory,Fair,Excellent,Fair,Fair,Fair,Poor,Excellent,Fair,Poor,Satisfactory,Very good,Satisfactory,Satisfactory,Satisfactory,66-71,Male,Postgraduate Diploma,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,"I am worried about national and personal security, as well as no opportunities to startups that can create a youth unrest"
02/11/2019 14:48:47,Yes,Western,Poor,Fair,Poor,Satisfactory,Fair,Poor,Poor,Satisfactory,Fair,Poor,Fair,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Fair,Fair,Poor,Satisfactory,Fair,Fair,Poor,Poor,Satisfactory,Poor,Fair,Fair,Poor,Satisfactory,Fair,23-29,Male,Masters Degree,200000 - 240000,Muslim,Sajith Premadasa,Sajith Premadasa,
02/11/2019 15:14:26,Yes,Western,Poor,Poor,Satisfactory,Poor,Poor,Fair,Poor,Poor,Satisfactory,Poor,Fair,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Fair,Poor,Poor,Fair,Satisfactory,Poor,Poor,Poor,Fair,Satisfactory,Poor,Poor,Poor,Fair,Satisfactory,Fair,Poor,60-65,Male,O/L,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,Gotabhaya is only can save and develope our mather land.
02/11/2019 16:49:49,Yes,North Western,Poor,Fair,Satisfactory,Poor,Fair,Fair,Fair,Poor,Satisfactory,Fair,Fair,Poor,Satisfactory,Poor,Poor,Fair,Fair,Satisfactory,Fair,Fair,Fair,Fair,Satisfactory,Poor,Fair,Fair,Poor,Satisfactory,Poor,Fair,Poor,Poor,Satisfactory,Poor,Fair,54-59,Male,Bachelors Degree,240000 - 280000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
